元シート,列車番号,駅順,駅名,発車,到着,方向,区間,発車_判定用,到着_判定用,発着チェック
〇【上】ST　ｷｾ～ﾂｶ,A1623T,10,竹ノ塚,,16.36.10,上り,〇【上】ST　ｷｾ～ﾂｶ,,16.36.10,終着
〇【上】ST　ｷｾ～ﾂｶ,A1624S,2,鐘ヶ淵,(中目黒),,上り,〇【上】ST　ｷｾ～ﾂｶ,(中目黒),,始発
〇【上】ST　ｷｾ～ﾂｶ,A1624S,3,堀切,＝,,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,,異常
〇【上】ST　ｷｾ～ﾂｶ,A1624S,4,牛田,||,,上り,〇【上】ST　ｷｾ～ﾂｶ,||,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1624S,5,北千住,16.35.20,33.50,上り,〇【上】ST　ｷｾ～ﾂｶ,16.35.20,33.50,途中
〇【上】ST　ｷｾ～ﾂｶ,A1624S,6,小菅,31.50,31.20,上り,〇【上】ST　ｷｾ～ﾂｶ,31.50,31.20,途中
〇【上】ST　ｷｾ～ﾂｶ,A1624S,7,五反野,30   ,29.30,上り,〇【上】ST　ｷｾ～ﾂｶ,30,29.30,途中
〇【上】ST　ｷｾ～ﾂｶ,A1624S,8,梅島,28.10,27.40,上り,〇【上】ST　ｷｾ～ﾂｶ,28.10,27.40,途中
〇【上】ST　ｷｾ～ﾂｶ,A1624S,9,西新井,26.10,25.10,上り,〇【上】ST　ｷｾ～ﾂｶ,26.10,25.10,途中
〇【上】ST　ｷｾ～ﾂｶ,A1624S,10,竹ノ塚,16.23   ,,上り,〇【上】ST　ｷｾ～ﾂｶ,16.23,,始発
〇【上】ST　ｷｾ～ﾂｶ,A1642S,2,鐘ヶ淵,(中目黒),,上り,〇【上】ST　ｷｾ～ﾂｶ,(中目黒),,始発
〇【上】ST　ｷｾ～ﾂｶ,A1642S,3,堀切,＝,,上り,〇【上】ST　ｷｾ～ﾂｶ,＝,,異常
